Year,Season,RiverFlowFarmRiver,RiverFlowAgriburg,FarmLakeArea,FromAgriburgToFarmLake,FarmvilleResidentialUse,FarmvilleAgriculturalUse,AgriburgResidentialUse,AgriburgAgriculturalUse,FarmvilleHumanUse,AgriburgHumanUse,StartSeasonSurfaceArea,StartSeasonAverageDepth,StartSeasonVolume,GainsFarmvilleRiver,LossesFarmvilleUse,LossesFarmvilleResidential,LossesEvaporation,LossesGroundwaterTransportTowardsOcean,TotalLossOverWholeSeason,EndSeasonVolume,EndSeasonAverageDepth,EndSeasonSurfaceArea,CornYieldFarmville,CornYieldAgriburg,Farmville,Agriburg,WaterDemandCorn,WaterNeeded
9,Summer,100,180,51901.88108,0,100,30.5283981,70,55,-30.5283981,55,51901.88108,14,31651843155,100,30.5283981,100,172.6273015,,-1601679536,30050163619,14,49275.48803,96.51021053,202.6504,30.5283981,55,52753.07192,316518431.5
10,Spring,250,350,49275.48803,0,50,,40,,200,310,49275.48803,14,30050163619,250,0,50,163.891835,,284676773.1,30334840392,14,49742.2937,,,,,,
10,Summer,100,180,49742.2937,0,100,29.25814081,70,55,-29.25814081,55,49742.2937,14,30334840392,100,29.25814081,100,165.4444454,,-1535035190,28799805202,14,47225.18235,91.00074898,202.6504,29.25814081,55,50558.06732,303348403.9
11,Spring,250,350,47225.18235,0,50,,40,,200,310,47225.18235,14,28799805202,250,0,50,157.0724533,,338440778.3,29138245981,14,47780.14886,,,,,,
11,Summer,100,180,47780.14886,0,100,28.10401811,70,55,-28.10401811,55,47780.14886,14,29138245981,100,28.10401811,100,158.9182895,,-1474483873,27663762108,14,45362.328,85.99499569,202.6504,28.10401811,55,48563.7433,291382459.8
12,Spring,250,350,45362.328,0,50,,40,,200,310,45362.328,14,27663762108,250,0,50,150.8765407,,387289353.3,28051051461,14,45997.39515,,,,,,
12,Summer,100,180,45997.39515,0,100,27.05541229,70,55,-27.05541229,55,45997.39515,14,28051051461,100,27.05541229,100,152.9887942,,-1419468524,26631582937,14,43669.78705,81.44689861,202.6504,27.05541229,55,46751.75243,280510514.6
13,Spring,250,350,43669.78705,0,50,,40,,200,310,43669.78705,14,26631582937,250,0,50,145.2470959,,431671896.3,27063254833,14,44377.63156,,,,,,
13,Summer,100,180,44377.63156,0,100,26.10267634,70,55,-26.10267634,55,44377.63156,14,27063254833,100,26.10267634,100,147.6014091,,-1369483010,25693771824,14,42131.98843,77.31461605,202.6504,26.10267634,55,45105.42472,270632548.3
14,Spring,250,350,42131.98843,0,50,,40,,200,310,42131.98843,14,25693771824,250,0,50,140.1323289,,471996719.1,26165768543,14,42905.95655,,,,,,
14,Summer,100,180,42905.95655,0,100,25.23704528,70,55,-25.23704528,55,42905.95655,14,26165768543,100,25.23704528,100,142.7065714,,-1324067474,24841701069,14,40734.78465,73.56013174,202.6504,25.23704528,55,43609.61424,261657685.4
15,Spring,250,350,40734.78465,0,50,,40,,200,310,40734.78465,14,24841701069,250,0,50,135.4851848,,508634802.9,25350335872,14,41568.83096,,,,,,
15,Summer,100,180,41568.83096,0,100,24.45055543,70,55,-24.45055543,55,41568.83096,14,25350335872,100,24.45055543,100,138.2592493,,-1282804100,24067531771,14,39465.32168,70.14890506,202.6504,24.45055543,55,42250.55979,253503358.7
16,Spring,250,350,39465.32168,0,50,,40,,200,310,39465.32168,14,24067531771,250,0,50,131.2629107,,541923211.7,24609454983,14,40353.95347,,,,,,
16,Summer,100,180,40353.95347,0,100,23.73597124,70,55,-23.73597124,55,40353.95347,14,24609454983,100,23.73597124,100,134.2185283,,-1245313274,23364141709,14,38311.92068,67.04955335,202.6504,23.73597124,55,41015.7583,246094549.8
17,Spring,250,350,38311.92068,0,50,,40,,200,310,38311.92068,14,23364141709,250,0,50,127.4266625,,572168193,23936309902,14,39250.14742,,,,,,
17,Summer,100,180,39250.14742,0,100,23.08671866,70,55,-23.08671866,55,39250.14742,14,23936309902,100,23.08671866,100,130.5472343,,-1211250085,22725059817,14,37263.97058,64.23356309,202.6504,23.08671866,55,39893.84984,239363099
18,Spring,250,350,37263.97058,0,50,,40,,200,310,37263.97058,14,22725059817,250,0,50,123.9411472,,599647995.3,23324707812,14,38247.25799,,,,,,
18,Summer,100,180,38247.25799,0,100,22.49682466,70,55,-22.49682466,55,38247.25799,14,23324707812,100,22.49682466,100,127.2115923,,-1180301159,22144406652,14,36311.8304,61.67502768,202.6504,22.49682466,55,38874.51302,233247078.1
19,Spring,250,350,36311.8304,0,50,,40,,200,310,36311.8304,14,22144406652,250,0,50,120.7742988,,624615428.1,22769022081,14,37336.05877,,,,,,
19,Summer,100,180,37336.05877,0,100,21.96086235,70,55,-21.96086235,55,37336.05877,14,22769022081,100,21.96086235,100,124.1809148,,-1152181771,21616840309,14,35446.74064,59.35040904,202.6504,21.96086235,55,37948.37013,227690220.8
20,Spring,250,350,35446.74064,0,50,,40,,200,310,35446.74064,14,21616840309,250,0,50,117.8969828,,647300187.3,22264140497,14,36508.16689,,,,,,
20,Summer,100,180,36508.16689,0,100,21.47390094,70,55,-21.47390094,55,36508.16689,14,22264140497,100,21.47390094,100,121.4273202,,-1126633227,21137507269,14,34660.7426,57.23832108,202.6504,21.47390094,55,37106.90083,222641405
21,Spring,250,350,34660.7426,0,50,,40,,200,310,34660.7426,14,21137507269,250,0,50,115.2827285,,667910968.8,21805418238,14,35755.96589,,,,,,
21,Summer,100,180,35755.96589,0,100,21.03146049,70,55,-21.03146049,55,35755.96589,14,21805418238,100,21.03146049,100,118.9254758,,-1103420486,20701997752,14,33946.60526,55.31933296,202.6504,21.03146049,55,36342.36373,218054182.4
22,Spring,250,350,33946.60526,0,50,,40,,200,310,33946.60526,14,20701997752,250,0,50,112.907485,,686637388,21388635140,14,35072.53565,,,,,,
22,Summer,100,180,35072.53565,0,100,20.62947062,70,55,-20.62947062,55,35072.53565,14,21388635140,100,20.62947062,100,116.6523652,,-1082329994,20306305146,14,33297.75867,53.57579034,202.6504,20.62947062,55,35647.72523,213886351.4
23,Spring,250,350,33297.75867,0,50,,40,,200,310,33297.75867,14,20306305146,250,0,50,110.7494007,,703651724.9,21009956871,14,34451.58873,,,,,,
23,Summer,100,180,34451.58873,0,100,20.26423309,70,55,-20.26423309,55,34451.58873,14,21009956871,100,20.26423309,100,114.5870761,,-1063167721,19946789150,14,32708.23355,51.99165291,202.6504,20.26423309,55,35016.59479,210099568.7
24,Spring,250,350,32708.23355,0,50,,40,,200,310,32708.23355,14,19946789150,250,0,50,108.7886215,,719110508.2,20665899658,14,33887.41253,,,,,,
24,Summer,100,180,33887.41253,0,100,19.93238779,70,55,-19.93238779,55,33887.41253,14,20665899658,100,19.93238779,100,112.7106081,,-1045757380,19620142278,14,32172.60639,50.5523469,202.6504,19.93238779,55,34443.1661,206658996.6
25,Spring,250,350,32172.60639,0,50,,40,,200,310,32172.60639,14,19620142278,250,0,50,107.0071085,,733155956.2,20353298234,14,33374.81673,,,,,,
25,Summer,100,180,33374.81673,0,100,19.63088178,70,55,-19.63088178,55,33374.81673,14,20353298234,100,19.63088178,100,111.0056983,,-1029938797,19323359437,14,31685.94949,49.24463095,202.6504,19.63088178,55,33922.16372,203532982.3
26,Spring,250,350,31685.94949,0,50,,40,,200,310,31685.94949,14,19323359437,250,0,50,105.3884723,,745917284.5,20069276722,14,32909.08553,,,,,,
26,Summer,100,180,32909.08553,0,100,19.35694128,70,55,-19.35694128,55,32909.08553,14,20069276722,100,19.35694128,100,109.4566615,,-1015566445,19053710277,14,31243.78571,48.05647429,202.6504,19.35694128,55,33448.79454,200692767.2
27,Spring,250,350,31243.78571,0,50,,40,,200,310,31243.78571,14,19053710277,250,0,50,103.9178215,,757511895,19811222172,14,32485.9343,,,,,,
27,Summer,100,180,32485.9343,0,100,19.10804608,70,55,-19.10804608,55,32485.9343,14,19811222172,100,19.10804608,100,108.0492471,,-1002508100,18808714073,14,30842.04721,46.97694609,202.6504,19.10804608,55,33018.70362,198112221.7
28,Spring,250,350,30842.04721,0,50,,40,,200,310,30842.04721,14,18808714073,250,0,50,102.5816266,,768046456.1,19576760529,14,32101.47011,,,,,,
28,Summer,100,180,32101.47011,0,100,18.88190637,70,55,-18.88190637,55,32101.47011,14,19576760529,100,18.88190637,100,106.770507,,-990643627.2,18586116902,14,30477.03808,45.99611488,202.6504,18.88190637,55,32627.93421,195767605.3
29,Spring,250,350,30477.03808,0,50,,40,,200,310,30477.03808,14,18586116902,250,0,50,101.3675946,,777617884.1,19363734786,14,31752.15595,,,,,,
29,Summer,100,180,31752.15595,0,100,18.67644173,70,55,-18.67644173,55,31752.15595,14,19363734786,100,18.67644173,100,105.6086771,,-979863876.7,18383870909,14,30145.40028,45.10495719,202.6504,18.67644173,55,32272.89131,193637347.9
30,Spring,250,350,30145.40028,0,50,,40,,200,310,30145.40028,14,18383870909,250,0,50,100.2645568,,786314234.2,19170185143,14,31434.77821,,,,,,
30,Summer,100,180,31434.77821,0,100,18.48976191,70,55,-18.48976191,55,31434.77821,14,19170185143,100,18.48976191,100,104.5530686,,-970069676.1,18200115467,14,29844.08282,44.29527452,202.6504,18.48976191,55,31950.30857,191701851.4
